administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
36468,つるぎ町,3605,西部,1
36489,東みよし町,3605,西部,1
37201,高松市,3706,東部,1
37202,丸亀市,3707,西部,1
37203,坂出市,3707,西部,1
37204,善通寺市,3707,西部,1
37205,観音寺市,3707,西部,1
37206,さぬき市,3706,東部,1
37207,東かがわ市,3706,東部,1
37208,三豊市,3707,西部,1
37322,土庄町,3702,小豆,1
37324,小豆島町,3702,小豆,1
37341,三木町,3706,東部,1
37364,直島町,3706,東部,1
37386,宇多津町,3707,西部,1
37387,綾川町,3707,西部,1
37403,琴平町,3707,西部,1
37404,多度津町,3707,西部,1
37406,まんのう町,3707,西部,1
38201,松山市,3804,松山,1
38202,今治市,3803,今治,1
38203,宇和島市,3806,宇和島,1
38204,八幡浜市,3805,八幡浜・大洲,1
38205,新居浜市,3802,新居浜・西条,1
38206,西条市,3802,新居浜・西条,1
38207,大洲市,3805,八幡浜・大洲,1
38210,伊予市,3804,松山,1
38213,四国中央市,3801,宇摩,1
38214,西予市,3805,八幡浜・大洲,1
38215,東温市,3804,松山,1
38356,上島町,3803,今治,1
38386,久万高原町,3804,松山,1
38401,松前町,3804,松山,1
38402,砥部町,3804,松山,1
38422,内子町,3805,八幡浜・大洲,1
38442,伊方町,3805,八幡浜・大洲,1
38484,松野町,3806,宇和島,1
38488,鬼北町,3806,宇和島,1
38506,愛南町,3806,宇和島,1
39201,高知市,3902,中央,1
39202,室戸市,3901,安芸,1
39203,安芸市,3901,安芸,1
39204,南国市,3902,中央,1
39205,土佐市,3902,中央,1
39206,須崎市,3903,高幡,1
39208,宿毛市,3904,幡多,1
39209,土佐清水市,3904,幡多,1
39210,四万十市,3904,幡多,1
39211,香南市,3902,中央,1
39212,香美市,3902,中央,1
39301,東洋町,3901,安芸,1
39302,奈半利町,3901,安芸,1
39303,田野町,3901,安芸,1
39304,安田町,3901,安芸,1
39305,北川村,3901,安芸,1
39306,馬路村,3901,安芸,1
39307,芸西村,3901,安芸,1
39341,本山町,3902,中央,1
39344,大豊町,3902,中央,1
39363,土佐町,3902,中央,1
39364,大川村,3902,中央,1
39386,いの町,3902,中央,1
39387,仁淀川町,3902,中央,1
39401,中土佐町,3903,高幡,1
39402,佐川町,3902,中央,1
39403,越知町,3902,中央,1
39405,梼原町,3903,高幡,1
39410,日高村,3902,中央,1
39411,津野町,3903,高幡,1
39412,四万十町,3903,高幡,1
39424,大月町,3904,幡多,1
39427,三原村,3904,幡多,1
39428,黒潮町,3904,幡多,1
40101,門司区,4012,北九州,1
